GeographyCode,KS101EW0001,KS101EW0002,KS101EW0003,KS101EW0004,KS101EW0005,KS101EW0006,KS101EW0007,KS101EW0008,KS101EW0009,KS101EW0010,KS101EW0011,KS101EW0012
W00006360,341,161,180,341,0,8,85.26,3.999530847,47.21407625,52.78592375,100,0
W00006361,194,94,100,194,0,0,6.85,28.32116788,48.45360825,51.54639175,100,0
W00006362,294,148,146,294,0,0,2.2,133.6363636,50.34013605,49.65986395,100,0
W00006363,238,105,133,238,0,0,7.75,30.70967742,44.11764706,55.88235294,100,0
W00006364,319,142,177,319,0,2,4.26,74.88262911,44.51410658,55.48589342,100,0
W00006365,366,183,183,323,43,2,36.91,9.916011921,50,50,88.25136612,11.74863388
W00006366,285,145,140,285,0,1,3.18,89.62264151,50.87719298,49.12280702,100,0
W00006367,265,133,132,265,0,0,2.71,97.78597786,50.18867925,49.81132075,100,0
W00006368,252,119,133,252,0,2,2.84,88.73239437,47.22222222,52.77777778,100,0
W00006369,238,121,117,238,0,0,2.92,81.50684932,50.84033613,49.15966387,100,0
W00006370,302,143,159,302,0,1,7.91,38.1795196,47.35099338,52.64900662,100,0
W00006371,289,141,148,289,0,0,3.2,90.3125,48.78892734,51.21107266,100,0
W00006372,305,161,144,305,0,2,8.42,36.22327791,52.78688525,47.21311475,100,0
W00006373,278,137,141,278,0,0,19.63,14.16199694,49.28057554,50.71942446,100,0
W00006374,280,137,143,280,0,2,4.35,64.36781609,48.92857143,51.07142857,100,0
W00006375,346,171,175,346,0,3,46.38,7.460112117,49.42196532,50.57803468,100,0
W00006376,225,102,123,225,0,5,11.02,20.41742287,45.33333333,54.66666667,100,0
W00006377,275,133,142,275,0,0,33.85,8.124076809,48.36363636,51.63636364,100,0
W00006378,318,150,168,318,0,0,2.45,129.7959184,47.16981132,52.83018868,100,0
W00006379,298,143,155,298,0,0,5.46,54.57875458,47.98657718,52.01342282,100,0
