GeographyCode,KS101EW0001,KS101EW0002,KS101EW0003,KS101EW0004,KS101EW0005,KS101EW0006,KS101EW0007,KS101EW0008,KS101EW0009,KS101EW0010,KS101EW0011,KS101EW0012
E00041523,296,140,156,296,0,2,4.66,63.5193133,47.2972973,52.7027027,100,0
E00041524,313,151,162,313,0,2,10.16,30.80708661,48.2428115,51.7571885,100,0
E00041525,224,112,112,224,0,0,2.49,89.95983936,50,50,100,0
E00041526,201,92,109,201,0,0,8.73,23.02405498,45.77114428,54.22885572,100,0
E00041527,304,144,160,304,0,2,3.63,83.74655647,47.36842105,52.63157895,100,0
E00041528,348,143,205,348,0,2,4.05,85.92592593,41.09195402,58.90804598,100,0
E00041529,234,131,103,234,0,0,3.06,76.47058824,55.98290598,44.01709402,100,0
E00041530,183,100,83,183,0,0,2.17,84.33179724,54.64480874,45.35519126,100,0
E00041531,254,127,127,254,0,1,3.8,66.84210526,50,50,100,0
E00041532,264,125,139,264,0,0,3.81,69.29133858,47.34848485,52.65151515,100,0
E00041533,181,113,68,181,0,0,1.25,144.8,62.43093923,37.56906077,100,0
E00041534,227,110,117,227,0,0,3.36,67.55952381,48.45814978,51.54185022,100,0
E00041535,276,132,144,276,0,1,4.67,59.1006424,47.82608696,52.17391304,100,0
E00041536,391,182,209,328,63,3,13.1,29.84732824,46.54731458,53.45268542,83.88746803,16.11253197
E00041537,376,152,224,320,56,2,4.02,93.53233831,40.42553191,59.57446809,85.10638298,14.89361702
E00041538,255,120,135,255,0,2,5.9,43.22033898,47.05882353,52.94117647,100,0
E00041539,243,128,115,243,0,1,3.23,75.23219814,52.67489712,47.32510288,100,0
E00041540,240,114,126,240,0,2,14.74,16.28222524,47.5,52.5,100,0
E00041541,281,139,142,281,0,4,3.55,79.15492958,49.46619217,50.53380783,100,0
E00041542,315,155,160,274,41,0,8.31,37.90613718,49.20634921,50.79365079,86.98412698,13.01587302
E00041543,258,127,131,258,0,0,3.43,75.21865889,49.2248062,50.7751938,100,0
E00041544,111,48,63,111,0,1,44.45,2.497187852,43.24324324,56.75675676,100,0
E00041545,211,103,108,211,0,2,16.85,12.52225519,48.81516588,51.18483412,100,0
E00041546,253,122,131,253,0,3,4.29,58.97435897,48.22134387,51.77865613,100,0
E00041547,273,139,134,273,0,9,646.74,0.42211708,50.91575092,49.08424908,100,0
E00041548,257,132,125,257,0,0,10.36,24.80694981,51.3618677,48.6381323,100,0
E00041549,396,192,204,396,0,4,23.69,16.71591389,48.48484848,51.51515152,100,0
E00041550,265,130,135,265,0,2,95.05,2.788006312,49.05660377,50.94339623,100,0
E00041551,315,140,175,315,0,1,6.5,48.46153846,44.44444444,55.55555556,100,0
E00041552,348,169,179,348,0,0,34.6,10.05780347,48.56321839,51.43678161,100,0
E00041553,324,161,163,324,0,3,93.09,3.480502739,49.69135802,50.30864198,100,0
E00041554,227,104,123,227,0,1,4.51,50.33259424,45.81497797,54.18502203,100,0
E00041555,314,158,156,314,0,0,6.6,47.57575758,50.31847134,49.68152866,100,0
E00041556,196,100,96,196,0,0,266.09,0.736592882,51.02040816,48.97959184,100,0
E00041557,368,178,190,365,3,7,37,9.945945946,48.36956522,51.63043478,99.18478261,0.815217391
E00041558,253,133,120,253,0,0,13.59,18.61662987,52.56916996,47.43083004,100,0
E00041559,270,135,135,270,0,0,11.05,24.43438914,50,50,100,0
E00041560,182,76,106,182,0,0,17.29,10.52631579,41.75824176,58.24175824,100,0
E00041561,268,120,148,268,0,5,28.46,9.416725228,44.7761194,55.2238806,100,0
E00041562,313,141,172,313,0,7,97.46,3.211573979,45.04792332,54.95207668,100,0
E00041563,256,120,136,256,0,1,19.58,13.07456588,46.875,53.125,100,0
E00041564,274,132,142,274,0,0,6.64,41.26506024,48.17518248,51.82481752,100,0
